City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Vaini,TO,-21.2,-175.2,82.56,69,20,10.36,few clouds,2022-03-26 01:56:21
1,Lapao,BR,-11.3833,-41.8319,69.44,66,6,8.95,clear sky,2022-03-26 02:03:19
2,Atuona,PF,-9.8,-139.0333,79.03,82,67,20.09,light rain,2022-03-26 01:56:29
3,Onalaska,US,43.8844,-91.2351,37.27,61,100,23.02,overcast clouds,2022-03-26 02:03:19
4,Skibbereen,IE,51.55,-9.2667,50.11,80,35,10.11,scattered clouds,2022-03-26 01:59:34
5,Husavik,IS,66.0449,-17.3389,38.59,86,100,12.95,overcast clouds,2022-03-26 01:57:28
6,Bowen,AU,-20.0167,148.2333,82.71,57,100,13.27,overcast clouds,2022-03-26 02:03:20
7,Ayan,RU,56.45,138.1667,28.35,74,39,2.73,scattered clouds,2022-03-26 02:03:20
8,Saint-Philippe,RE,-21.3585,55.7679,74.21,85,24,7.49,few clouds,2022-03-26 01:56:37
9,Busselton,AU,-33.65,115.3333,69.57,79,100,14.94,overcast clouds,2022-03-26 01:56:28
10,Chimbote,PE,-9.0853,-78.5783,69.22,84,33,5.21,scattered clouds,2022-03-26 02:03:21
11,San Policarpo,PH,12.1791,125.5072,82.53,76,15,10.67,few clouds,2022-03-26 01:59:57
12,Riyadh,SA,24.6877,46.7219,59.14,21,0,8.57,clear sky,2022-03-26 01:55:29
13,Ushuaia,AR,-54.8,-68.3,49.66,76,75,6.91,broken clouds,2022-03-26 01:56:52
14,Portsmouth,GB,50.799,-1.0913,48.0,70,0,3.0,clear sky,2022-03-26 02:03:22
15,Rikitea,PF,-23.1203,-134.9692,79.95,72,52,17.13,broken clouds,2022-03-26 01:52:57
16,Avarua,CK,-21.2078,-159.775,82.45,78,75,11.5,broken clouds,2022-03-26 01:56:39
17,Gazanjyk,TM,39.2446,55.5154,41.85,85,40,6.69,scattered clouds,2022-03-26 02:03:22
18,Mataura,NZ,-46.1927,168.8643,62.44,69,99,5.28,overcast clouds,2022-03-26 01:56:23
19,Severo-Kurilsk,RU,50.6789,156.125,31.96,76,40,15.23,scattered clouds,2022-03-26 01:57:06
20,Esperance,AU,-33.8667,121.9,76.84,50,100,12.15,overcast clouds,2022-03-26 01:57:23
21,Ponta Do Sol,PT,32.6667,-17.1,61.0,72,86,6.22,overcast clouds,2022-03-26 01:56:22
22,Longyearbyen,SJ,78.2186,15.6401,1.24,71,20,3.44,few clouds,2022-03-26 01:56:22
23,Hermanus,ZA,-34.4187,19.2345,58.8,81,76,13.67,broken clouds,2022-03-26 01:56:32
24,Zhangye,CN,38.9342,100.4517,37.65,30,46,5.66,scattered clouds,2022-03-26 02:03:23
25,Port Alfred,ZA,-33.5906,26.891,63.54,83,15,5.17,few clouds,2022-03-26 01:56:38
26,Castro,BR,-24.7911,-50.0119,63.55,97,100,2.77,overcast clouds,2022-03-26 01:57:42
27,Souillac,MU,-20.5167,57.5167,75.58,94,40,4.61,scattered clouds,2022-03-26 01:56:50
28,Albany,US,42.6001,-73.9662,45.68,73,99,3.0,overcast clouds,2022-03-26 01:56:20
29,Kapaa,US,22.0752,-159.319,80.58,64,54,5.99,broken clouds,2022-03-26 01:56:23
30,Itacare,BR,-14.2775,-38.9967,76.62,80,32,5.48,scattered clouds,2022-03-26 02:03:24
31,Lebu,CL,-37.6167,-73.65,55.11,91,2,13.04,clear sky,2022-03-26 01:56:53
32,Cidreira,BR,-30.1811,-50.2056,64.81,80,16,8.05,few clouds,2022-03-26 01:58:01
33,Palmer,US,42.1584,-72.3287,50.09,70,94,5.17,overcast clouds,2022-03-26 01:56:39
34,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,71,0,17.27,clear sky,2022-03-26 01:56:34
35,Torbay,CA,47.6666,-52.7314,30.58,87,100,8.77,overcast clouds,2022-03-26 01:57:40
36,Khromtau,KZ,50.2503,58.4347,25.79,92,100,6.44,overcast clouds,2022-03-26 02:03:25
37,Kavieng,PG,-2.5744,150.7967,83.91,66,100,7.61,overcast clouds,2022-03-26 01:56:26
38,Nanortalik,GL,60.1432,-45.2371,25.66,85,5,4.43,clear sky,2022-03-26 02:03:26
39,Nuuk,GL,64.1835,-51.7216,10.94,88,97,4.36,overcast clouds,2022-03-26 01:59:26
40,Kahului,US,20.8947,-156.47,77.85,79,4,18.01,clear sky,2022-03-26 01:58:27
41,Maragogi,BR,-9.0122,-35.2225,77.34,86,25,2.59,scattered clouds,2022-03-26 02:03:26
42,Bredasdorp,ZA,-34.5322,20.0403,60.98,84,44,9.31,light rain,2022-03-26 01:56:51
43,Skjervoy,NO,70.0311,20.9714,24.8,81,100,20.62,snow,2022-03-26 02:03:27
44,Kinshasa,CD,-4.3246,15.3215,75.4,87,100,0.98,light rain,2022-03-26 02:03:11
45,Guerrero Negro,MX,27.9769,-114.0611,67.48,56,100,11.3,overcast clouds,2022-03-26 01:59:21
46,Hobart,AU,-42.8794,147.3294,74.23,59,20,3.44,few clouds,2022-03-26 01:56:27
47,Abonnema,NG,4.7084,6.7931,79.07,90,93,3.94,overcast clouds,2022-03-26 02:03:27
48,Hithadhoo,MV,-0.6,73.0833,83.43,68,100,12.93,overcast clouds,2022-03-26 01:56:27
49,Bluff,NZ,-46.6,168.3333,60.62,73,94,10.04,overcast clouds,2022-03-26 01:56:42
50,Golden,US,39.7555,-105.2211,56.64,40,40,3.44,scattered clouds,2022-03-26 02:01:31
51,Atikokan,CA,48.7555,-91.6216,19.17,88,100,14.16,overcast clouds,2022-03-26 02:03:28
52,Portland,US,45.5234,-122.6762,60.82,50,100,1.01,overcast clouds,2022-03-26 02:03:29
53,Tiksi,RU,71.6872,128.8694,-0.99,96,47,1.43,scattered clouds,2022-03-26 01:56:50
54,Sinnamary,GF,5.3833,-52.95,77.43,86,97,14.27,overcast clouds,2022-03-26 02:03:29
55,Puerto Ayora,EC,-0.7393,-90.3518,77.31,87,55,5.26,moderate rain,2022-03-26 01:51:59
56,Dingle,PH,10.9995,122.6711,88.03,54,32,12.1,scattered clouds,2022-03-26 01:57:13
57,Punta Arenas,CL,-53.15,-70.9167,55.51,62,75,20.71,broken clouds,2022-03-26 01:54:04
58,Airai,TL,-8.9266,125.4092,73.29,62,60,2.17,broken clouds,2022-03-26 01:56:57
59,Dioknisi,GE,41.6293,42.3917,21.83,97,100,2.1,overcast clouds,2022-03-26 02:03:30
60,General Roca,AR,-39.0333,-67.5833,62.35,29,8,8.43,clear sky,2022-03-26 02:03:30
61,Ribeira Grande,PT,38.5167,-28.7,57.51,87,100,14.23,overcast clouds,2022-03-26 01:56:58
